unit,beds,prob_delay_current,1_in_n_delay_current,prob_delay_5%,1_in_n_delay_5%
asu,9,0.19,5,,
asu,10,0.14,7,0.16,6.0
asu,11,0.09,11,0.11,9.0
asu,12,0.06,16,0.08,13.0
asu,13,0.04,26,0.05,20.0
asu,14,0.02,45,0.03,33.0
rehab,10,0.2,5,,
rehab,12,0.11,9,0.13,8.0
rehab,13,0.08,13,0.09,11.0
rehab,14,0.05,20,0.06,15.0
rehab,15,0.03,31,0.04,23.0
rehab,16,0.02,52,0.03,37.0
