unit,beds,prob_delay_current,1_in_n_delay_current,prob_delay_no_complex_neuro,1_in_n_delay_no_complex_neuro
asu,10,0.13,8.0,0.08,12.0
asu,11,0.09,12.0,0.05,20.0
asu,12,0.06,18.0,0.03,36.0
asu,13,0.03,30.0,0.01,67.0
asu,14,0.02,52.0,0.01,131.0
asu,15,0.01,95.0,0.0,277.0
rehab,12,0.11,9.0,0.05,19.0
rehab,13,0.08,13.0,0.03,32.0
rehab,14,0.05,20.0,0.02,57.0
rehab,15,0.03,32.0,0.01,110.0
rehab,16,0.02,51.0,0.0,205.0
