resource_name,simulation_time,utilisation,queue_length,running_mean_wait_time,run
nurse,38880,0.6,0,0.4716432097307778,0
nurse,39000,0.4,0,0.47031436993680903,0
nurse,39120,0.6,0,0.4689459424532967,0
nurse,39240,0.6,0,0.4680068297218392,0
nurse,39360,0.0,0,0.4674164741570776,0
nurse,39480,0.2,0,0.46648490171232015,0
nurse,39600,1.0,3,0.4678380904064445,0
nurse,39720,0.4,0,0.46944226337805417,0
nurse,39840,0.4,0,0.4680529699084536,0
nurse,39960,0.0,0,0.4709946503761595,0
nurse,40080,0.2,0,0.4701007135898131,0
nurse,40200,0.2,0,0.47501865733633225,0
nurse,40320,0.6,0,0.4748278304740551,0
nurse,40440,0.6,0,0.4744074728125253,0
nurse,40560,0.2,0,0.48221038424276913,0
nurse,40680,1.0,3,0.4812546725685281,0
nurse,40800,0.4,0,0.4807639515802787,0
nurse,40920,0.2,0,0.4796571568716047,0
nurse,41040,0.4,0,0.47832656020532627,0
nurse,41160,0.4,0,0.47745878548519827,0
nurse,41280,0.2,0,0.47618568330506433,0
nurse,41400,0.2,0,0.47519014163132944,0
nurse,41520,0.6,0,0.4740189459082833,0
nurse,41640,1.0,1,0.4733930164779788,0
nurse,41760,0.0,0,0.47259750845814585,0
nurse,41880,0.8,0,0.47127290079265965,0
nurse,42000,0.2,0,0.4725554526194577,0
nurse,42120,0.6,0,0.47226550437926057,0
nurse,42240,0.6,0,0.47102495575687164,0
nurse,42360,0.6,0,0.46988700288104196,0
nurse,42480,0.2,0,0.468841454200424,0
nurse,42600,0.8,0,0.467923273922442,0
nurse,42720,0.4,0,0.46675928930506344,0
nurse,42840,0.2,0,0.46648665698267594,0
nurse,42960,0.8,0,0.4653964265294646,0
nurse,43080,0.6,0,0.4645563413256758,0
nurse,43200,0.2,0,0.46324570730846654,0
nurse,43320,0.8,0,0.46232005739377197,0
nurse,43440,0.6,0,0.4767787312495113,0
nurse,43560,0.4,0,0.4775130597258948,0
nurse,43680,0.6,0,0.4765669783755732,0
nurse,43800,0.4,0,0.4753255841087187,0
nurse,43920,0.4,0,0.47426059579515734,0
nurse,44040,0.8,0,0.47328501277903273,0
nurse,44160,0.8,0,0.4719343376333154,0
nurse,44280,0.8,0,0.4712536319566377,0
nurse,44400,0.8,0,0.46983320830513847,0
nurse,44520,0.0,0,0.46887707985079247,0
nurse,44640,0.4,0,0.4676770590833692,0
nurse,44760,1.0,0,0.4662356801511506,0
nurse,44880,0.8,0,0.4650412676545044,0
nurse,45000,0.4,0,0.4638209004370766,0
nurse,45120,0.6,0,0.46276841803077856,0
nurse,45240,0.4,0,0.47197951798467735,0
nurse,45360,0.6,0,0.4711601802223569,0
nurse,45480,1.0,0,0.4805523761757623,0
nurse,45600,0.2,0,0.4800307649881504,0
nurse,45720,0.6,0,0.478750242338238,0
nurse,45840,0.6,0,0.47755850353756757,0
nurse,45960,0.4,0,0.47645427474631,0
nurse,46080,0.4,0,0.4802918925911378,0
nurse,46200,1.0,0,0.4795918044921579,0
nurse,46320,0.6,0,0.47845185792800005,0
nurse,46440,0.8,0,0.4781939508430322,0
nurse,46560,0.2,0,0.47734580278832744,0
nurse,46680,0.0,0,0.4761794847934787,0
